source,target,value,recipient_type,year
Samaj Electoral Trust,Bharatiya Janata Party,10000000,party,2015
Samaj Electoral Trust,Janata Dal (United),15000000,party,2015
Satya Electoral Trust,Bharatiya Janata Party,450000000,party,2015
Satya Electoral Trust,Indian National Congress,20000000,party,2015
Champaran Marketing Co Ltd,Samaj Electoral Trust,175000,trust,2015
GMMCO Ltd,Satya Electoral Trust,20015000,trust,2015
Hargaon Investment & Trading Co Ltd,Samaj Electoral Trust,850000,trust,2015
JSW Steel Ltd,Satya Electoral Trust,250000000,trust,2015
OSM Investment and Trading Co Ltd,Samaj Electoral Trust,350000,trust,2015
Ronson Traders Ltd,Samaj Electoral Trust,2500000,trust,2015
SIL Investments Ltd,Samaj Electoral Trust,7500000,trust,2015
Sutlej Textiles & Industries Ltd.,Samaj Electoral Trust,10000000,trust,2015
Torrent Pharmaceuticals Ltd,Satya Electoral Trust,100000000,trust,2015
Torrent Power Ltd,Satya Electoral Trust,100000000,trust,2015
Uttam Commercial Ltd,Samaj Electoral Trust,750000,trust,2015
Uttar Pradesh Trading Co Ltd,Samaj Electoral Trust,1325000,trust,2015
Yashovardhan Investment & Trading Co Ltd,Samaj Electoral Trust,1750000,trust,2015
