source,target,recipient_type,value
Akhil Gupta,Satya Electoral Trust,trust,20000000
Bajaj Auto Limited,Bajaj Electoral Trust,trust,30500000
Bharti Airtel Ltd,Satya Electoral Trust,trust,530080000
Bharti Infratel Ltd,Satya Electoral Trust,trust,120080000
Carborundum Universal Ltd,Triumph Electoral Trust,trust,5285000
CEAT Ltd,Janpragati Electoral Trust,trust,13500000
Chambal Fertilizer & Chemicals Ltd,Satya Electoral Trust,trust,20020000
Champaran Marketing Co Ltd,Samaj Electoral Trust,trust,175000
Cholamandalam Investment and Finance Company Ltd,Triumph Electoral Trust,trust,5000000
Coromandel International Ltd,Triumph Electoral Trust,trust,10000000
DCM Shriram Ltd,Satya Electoral Trust,trust,20000000
Dhunseri Petrochem & Tea Ltd,Satya Electoral Trust,trust,10000000
DLF Assets Pvt Ltd,Satya Electoral Trust,trust,80050000
DLF Cyber City Developers Ltd,Satya Electoral Trust,trust,120050000
DLF Ltd,Satya Electoral Trust,trust,450100000
GMMCO Ltd,Satya Electoral Trust,trust,60045000
Gujrat Fluorochemicals Ltd,Satya Electoral Trust,trust,15000000
Hargaon Investment & Trading Co Ltd,Samaj Electoral Trust,trust,850000
Hero Motocorp Ltd,Satya Electoral Trust,trust,190040000
Indiabulls Housing Finance Ltd,Satya Electoral Trust,trust,400000000
Inox Ledget Ltd,Satya Electoral Trust,trust,5000000
Interglobe Aviation Ltd,Satya Electoral Trust,trust,40040000
JK Fenner India Ltd,Satya Electoral Trust,trust,4010000
JK Lakshmi Cement Ltd,Satya Electoral Trust,trust,11015000
JK Tyre & Industries Ltd,Satya Electoral Trust,trust,7515000
JSW Steel Ltd,Satya Electoral Trust,trust,250000000
Jubilant Foodworks Ltd,Satya Electoral Trust,trust,50000000
Jubilant Life Sciences Ltd,Satya Electoral Trust,trust,38800000
Kalpataru Power Transmission Ltd,Satya Electoral Trust,trust,40000000
KEC International Ltd,Janpragati Electoral Trust,trust,13300000
National Engineering Industries Ltd,Satya Electoral Trust,trust,40030000
Orient Cement Ltd,Satya Electoral Trust,trust,20000000
OSM Investment and Trading Co Ltd,Samaj Electoral Trust,trust,350000
Ronson Traders Ltd,Samaj Electoral Trust,trust,2500000
SIL Investments Ltd,Samaj Electoral Trust,trust,7500000
Sutlej Textiles & Industries Ltd.,Samaj Electoral Trust,trust,10000000
Tata Chemicals Ltd,Progressive Electoral Trust,trust,14946399
Tata Consultancy Services Ltd,Progressive Electoral Trust,trust,14896029
Tata Global Beverages Ltd,Progressive Electoral Trust,trust,12397645
Tata Motors Ltd,Progressive Electoral Trust,trust,18406574
Tata Sons Ltd,Progressive Electoral Trust,trust,47439333
Tata Steel Ltd,Progressive Electoral Trust,trust,141345659
The Indian Hotels Company Ltd,Progressive Electoral Trust,trust,612811
The Tata Power Company Ltd,Progressive Electoral Trust,trust,1447632
Torrent Pharmaceuticals Ltd,Satya Electoral Trust,trust,100000000
Torrent Power Ltd,Satya Electoral Trust,trust,100000000
Tube Investments of India Limited,Triumph Electoral Trust,trust,10000000
Unknown,General Electoral Trust,trust,1395500000
Uttam Commercial Ltd,Samaj Electoral Trust,trust,750000
Uttar Pradesh Trading Co Ltd,Samaj Electoral Trust,trust,1325000
Yashovardhan Investment & Trading Co Ltd,Samaj Electoral Trust,trust,1750000
Zensar Technologies Ltd,Janpragati Electoral Trust,trust,13400000
Bajaj Electoral Trust,Aam Aadmi Party,party,30000000
General Electoral Trust,Bharatiya Janata Party,party,632000000
General Electoral Trust,Biju Janata Dal,party,180000000
General Electoral Trust,Indian National Congress,party,541000000
General Electoral Trust,Jharkhand Mukti Morcha,party,7500000
General Electoral Trust,Maharashtra Navnirman Sena,party,15000000
General Electoral Trust,Shiv Sena,party,20000000
Janpragati Electoral Trust,Indian National Congress,party,30000000
Janpragati Electoral Trust,Shiv Sena,party,10000000
Progressive Electoral Trust,All India Trinamool Congress,party,15384115
Progressive Electoral Trust,Bharatiya Janata Party,party,21000034
Progressive Electoral Trust,Biju Janata Dal,party,52563320
Progressive Electoral Trust,Dravida Munnetra Kazhagam,party,5319000
Progressive Electoral Trust,Indian National Congress,party,99039298
Progressive Electoral Trust,Janata Dal (United),party,5910000
Progressive Electoral Trust,Jharkhand Mukti Morcha,party,18872439
Progressive Electoral Trust,Samajwadi Party,party,6797000
Progressive Electoral Trust,Shiv Sena,party,13105704
Samaj Electoral Trust,Bharatiya Janata Party,party,10000000
Samaj Electoral Trust,Janata Dal (United),party,15000000
Satya Electoral Trust,Bharatiya Janata Party,party,1936220000
Satya Electoral Trust,Biju Janata Dal,party,2500000
Satya Electoral Trust,Indian National Congress,party,572500000
Satya Electoral Trust,Janata Dal (United),party,10000000
Satya Electoral Trust,Lok Jan Shakti Party,party,10000000
Satya Electoral Trust,Rashtriya Janata Dal,party,10000000
Satya Electoral Trust,Samajwadi Party,party,10000000
Satya Electoral Trust,Telugu Desam Party,party,10000000
Triumph Electoral Trust,Bharatiya Janata Party,party,20000000
Triumph Electoral Trust,Telugu Desam Party,party,10000000
